Token,English (en),Türkçe (tr),简体中文 (zh),Русский (ru),Español (es),Português (pt),Deutsch (de),日本語 (ja),Français (fr),العربية (ar),Filipino (fil)
app_name,Drosh,Drosh,Drosh,Drosh,Drosh,Drosh,Drosh,Drosh,Drosh,Drosh,Drosh
terminal_service_name,Drosh Terminal,Drosh Terminal,Drosh 终端,Drosh Терминал,Drosh Terminal,Drosh Terminal,Drosh-Terminal,Drosh ターミナル,Drosh Terminal,طرفية Drosh,Drosh Terminal
terminal_service_channel_name,Drosh Terminal,Drosh Terminal,Drosh 终端,Drosh Терминал,Drosh Terminal,Drosh Terminal,Drosh-Terminal,Drosh ターミナル,Drosh Terminal,طرفية Drosh,Drosh Terminal
notification_session_count_one,1 active session,1 aktif oturum,1 个活动会话,1 активный сеанс,1 sesión activa,1 sessão ativa,1 aktive Sitzung,アクティブなセッション 1件,1 session active,جلسة نشطة واحدة,1 aktibong sesyon
notification_session_count_other,%1$d active sessions,%1$d aktif oturum,%1$d 个活动会话,%1$d активных сеансов,%1$d sesiones activas,%1$d sessões ativas,%1$d aktive Sitzungen,アクティブなセッション %1$d件,%1$d sessions actives,%1$d جلسات نشطة,%1$d na aktibong sesyon
notification_action_exit,Exit,Çıkış,退出,Выход,Salir,Sair,Beenden,終了,Quitter,خروج,Lumabas
command_complete_channel_name,Command Completions,Komut Tamamlamaları,命令完成通知,Завершения команд,Finalizaciones de comandos,Conclusões de comandos,Befehlsabschlüsse,コマンド完了,Achèvements des commandes,إتمامات الأوامر,Mga Pagkumpleto ng Command
notification_command_completed,%1$s — Completed,%1$s — Tamamlandı,%1$s — 已完成,%1$s — Завершено,%1$s — Completado,%1$s — Concluído,%1$s — Abgeschlossen,%1$s — 完了,%1$s — Terminé,%1$s — تم الإكمال,%1$s — Nakumpleto
notification_command_error,%1$s — Error (exit %2$d),%1$s — Hata (çıkış %2$d),%1$s — 错误（退出代码 %2$d）,%1$s — Ошибка (код выхода %2$d),%1$s — Error (salida %2$d),%1$s — Erro (saída %2$d),%1$s — Fehler (Exit-Code %2$d),%1$s — エラー（終了コード %2$d）,%1$s — Erreur (code de sortie %2$d),%1$s — خطأ (رمز الخروج %2$d),%1$s — Error (exit %2$d)
notification_command_cancelled,%1$s — Cancelled,%1$s — İptal Edildi,%1$s — 已取消,%1$s — Отменено,%1$s — Cancelado,%1$s — Cancelado,%1$s — Abgebrochen,%1$s — キャンセル済み,%1$s — Annulé,%1$s — تم الإلغاء,%1$s — Nakansela
settings_language_title,Language,Dil,语言,Язык,Idioma,Idioma,Sprache,言語,Langue,اللغة,Wika
settings_language_system,System,Sistem,系统,Системный,Sistema,Sistema,System,システム,Système,النظام,Sistema
settings_terminal_section,Terminal,Terminal,终端,Терминал,Terminal,Terminal,Terminal,ターミナル,Terminal,الطرفية,Terminal
settings_cursor_style,Cursor Style,İmleç Stili,光标样式,Стиль курсора,Estilo del cursor,Estilo do cursor,Cursorstil,カーソルスタイル,Style du curseur,نمط المؤشر,Estilo ng Cursor
settings_cursor_style_block,Block,Blok,块状,Блок,Bloque,Bloco,Block,ブロック,Bloc,كتلة,Block
settings_cursor_style_beam,Beam,Çizgi,光束,Луч,Haz,Feixe,Strahl,ビーム,Faisceau,شعاع,Beam
settings_cursor_style_underline,Underline,Alt Çizgi,下划线,Подчёркивание,Subrayado,Sublinhado,Unterstrich,下線,Soulignement,تسطير,Underline
settings_cursor_blink_rate,Cursor Blink Rate,İmleç Yanıp Sönme Hızı,光标闪烁频率,Частота мигания курсора,Frecuencia de parpadeo del cursor,Taxa de piscar do cursor,Cursor-Blinkrate,カーソル点滅速度,Fréquence de clignotement du curseur,معدل وميض المؤشر,Bilis ng Pagkislap ng Cursor
settings_cursor_blink_description,Pulse interval,Nabız aralığı,脉冲间隔,Интервал импульса,Intervalo de pulso,Intervalo de pulso,Pulsintervall,パルス間隔,Intervalle de pulsation,فاصل النبض,Agwat ng Pulso
settings_font_size,Font Size,Yazı Tipi Boyutu,字体大小,Размер шрифта,Tamaño de fuente,Tamanho da fonte,Schriftgröße,フォントサイズ,Taille de la police,حجم الخط,Sukat ng Font
settings_proot_start_command,PRoot Start Command,PRoot Başlangıç Komutu,PRoot 启动命令,Команда запуска PRoot,Comando de inicio de PRoot,Comando de inicialização do PRoot,PRoot-Startbefehl,PRoot 起動コマンド,Commande de démarrage PRoot,أمر بدء تشغيل PRoot,PRoot Start Command
settings_proot_start_description,Experimental — changing this can break sessions,Deneysel — bunu değiştirmek oturumları bozabilir,实验性功能 — 更改此设置可能导致会话出错,Экспериментально — изменение этого параметра может нарушить работу сеансов,Experimental — cambiar esto puede romper las sesiones,Experimental — alterar isso pode quebrar as sessões,Experimentell — eine Änderung kann Sitzungen beeinträchtigen,実験的機能 — 変更するとセッションが壊れる可能性があります,Expérimental — modifier ceci peut casser les sessions,تجريبي — قد يؤدي تغيير هذا إلى تعطيل الجلسات,Eksperimental — maaaring masira ang mga sesyon kapag binago ito
settings_security_section,Security,Güvenlik,安全,Безопасность,Seguridad,Segurança,Sicherheit,セキュリティ,Sécurité,الأمان,Seguridad
settings_app_lock,App Lock (PIN),Uygulama Kilidi (PIN),应用锁定（PIN）,Блокировка приложения (PIN),Bloqueo de la app (PIN),Bloqueio do app (PIN),App-Sperre (PIN),アプリロック（PIN）,Verrouillage de l'application (code PIN),قفل التطبيق (رمز PIN),App Lock (PIN)
settings_app_lock_description,Require PIN on launch,Başlangıçta PIN iste,启动时需要 PIN,Требовать PIN при запуске,Requerir PIN al iniciar,Exigir PIN ao iniciar,PIN beim Start erforderlich,起動時に PIN を要求,Exiger un code PIN au démarrage,طلب رمز PIN عند التشغيل,Kailanganin ang PIN sa paglunsad
settings_about_section,About,Hakkında,关于,О приложении,Acerca de,Sobre,Über,アプリについて,À propos,حول,Tungkol
settings_version,Version,Sürüm,版本,Версия,Versión,Versão,Version,バージョン,Version,الإصدار,Bersyon
settings_description,Description,Açıklama,描述,Описание,Descripción,Descrição,Beschreibung,説明,Description,الوصف,Paglalarawan
settings_license,License,Lisans,许可证,Лицензия,Licencia,Licença,Lizenz,ライセンス,Licence,الترخيص,Lisensya
settings_made_by,Made by Muhofy,Muhofy tarafından yapıldı,由 Muhofy 制作,Разработано Muhofy,Hecho por Muhofy,Feito por Muhofy,Erstellt von Muhofy,Muhofy 制作,Créé par Muhofy,من إعداد Muhofy,Gawa ni Muhofy
settings_default_build_description,Advanced terminal,Gelişmiş terminal,高级终端,Продвинутый терминал,Terminal avanzado,Terminal avançado,Erweitertes Terminal,高機能ターミナル,Terminal avancé,طرفية متقدمة,Advanced na terminal
settings_back_content_description,Back,Geri,返回,Назад,Atrás,Voltar,Zurück,戻る,Retour,رجوع,Bumalik
